"geneName","LFC","FDR"
"HIST1H4C","0.8248","0.0006981"
"LDHB","1.102","0.0007278"
"RP11-69L16.4","0.8265","0.0007360"
"CTBP2","1.063","0.0007455"
"AHI1","-1.049","0.0007948"
"LUZP2","-1.404","0.0008100"
"CLU","0.8921","0.0008110"
"CA4","1.021","0.0008208"
"TPRG1L","0.9998","0.0008208"
"THSD4-AS1","1.087","0.0008239"
"PRKD1","-1.423","0.0008284"
"RP11-444D3.1","-1.338","0.0008379"
"BRK1","1.071","0.0008379"
"CAMKV","-1.343","0.0008744"
"SUMO1","1.080","0.0008915"
"DPF3","1.100","0.0008998"
"ARHGAP26-AS1","0.8930","0.0009047"
"HS3ST1","0.9735","0.0009087"
"RP11-649G15.2","1.102","0.0009182"
"CKB","0.8761","0.0009279"
"CACNA1E","-1.419","0.0009373"
"PRICKLE2","-1.422","0.0009478"
"AC026202.3","0.9816","0.0009597"
"ERICH1-AS1","-1.357","0.0009956"
"DLEU1","1.031","0.0009956"
"RASGRP1","0.9189","0.0009956"
"ADGRB1","-1.300","0.001025"
"MGAT4C","-1.301","0.001027"
"NME7","-1.324","0.001064"
"POLB","1.078","0.001084"
"FGF13","-1.518","0.001114"
"ATP6V1F","1.084","0.001136"
"GTDC1","-1.393","0.001165"
"SLC35F4","1.042","0.001195"
"NPTX1","0.6775","0.001195"
"ALK","-1.538","0.001233"
"TTC28","-1.372","0.001270"
"LINC01322","-1.337","0.001270"
"SLC2A13","-1.123","0.001270"
"RPL3","1.042","0.001282"
"ST7","0.9973","0.001282"
"TXNRD1","0.9431","0.001282"
"SERPINB9","1.027","0.001283"
"RFX3","0.9524","0.001283"
"LURAP1L-AS1","0.8870","0.001318"
"CCDC85A","-1.422","0.001336"
"UGGT2","-1.451","0.001339"
"FAM49A","-1.369","0.001345"
"RGS12","-1.708","0.001415"
"RSL24D1","0.9858","0.001415"
"KCNQ2","-1.389","0.001464"
"RP11-106M3.2","-1.269","0.001464"
"UBC","0.9179","0.001464"
"MYO5C","0.7991","0.001464"
"TTC12","0.7019","0.001464"
"SOX5","-1.323","0.001466"
"BCYRN1","-1.282","0.001471"
"RAB3IP","1.061","0.001471"
"SRP14","0.9986","0.001471"
"EPHA6","0.8029","0.001513"
"DAZAP2","0.9766","0.001573"
"ACTR3B","1.069","0.001599"
"OSBPL2","0.9761","0.001599"
"RPS3A","0.7714","0.001599"
"SYT16","-1.264","0.001623"
"PCBP2","1.055","0.001623"
"S100A6","1.004","0.001626"
"MACROD2","-0.8828","0.001626"
"SAP18","1.059","0.001634"
"CSNK1A1","0.9684","0.001644"
"PARK2","-1.252","0.001662"
"ACTB","0.8103","0.001694"
"ZNF436-AS1","1.036","0.001716"
"RIMBP2","-1.269","0.001733"
"SH3RF3","-1.290","0.001753"
"RP11-638L3.1","0.7893","0.001760"
"CADM2","0.6043","0.001760"
"PRUNE2","1.004","0.001771"
"BAZ2B","0.9621","0.001773"
"PTCHD4","-1.398","0.001792"
"PCSK2","-1.360","0.001852"
"NETO1","-1.404","0.001932"
"PLCXD3","0.9835","0.001932"
"KLF9","0.8139","0.001976"
"ZDHHC2","0.9661","0.002013"
"DPYSL2","0.8234","0.002013"
"SLC22A17","-1.294","0.002020"
"AK5","-1.382","0.002050"
"MT-CO3","0.8476","0.002088"
"GABRB1","-1.082","0.002115"
"WDR88","0.7173","0.002118"
"CNOT2","0.9888","0.002121"
"COX7B","0.9544","0.002121"
"RP11-368L12.1","0.7998","0.002148"
"SYT4","0.9874","0.002164"
"PTCHD1","0.9622","0.002164"
"SLC2A12","0.8132","0.002245"
"RP11-115D19.1","0.9059","0.002265"
"ST6GALNAC5","-1.439","0.002270"
"RP4-665J23.1","0.7942","0.002304"
"NMRK1","0.9749","0.002304"
"MARCH1","-1.221","0.002362"
"AC007228.11","0.6645","0.002381"
"GRIN2A","-1.094","0.002417"
"NDUFS2","1.049","0.002419"
"CAMK2A","-1.368","0.002435"
"KIF1B","0.7838","0.002443"
"KCTD6","0.7777","0.002470"
"UTY","1.018","0.002470"
"MEGF11","0.8801","0.002470"
"TNR","-1.319","0.002510"
"PCSK5","-1.212","0.002512"
"DSCAM","-1.112","0.002590"
"GAD1","-1.652","0.002612"
"PIAS1","0.9712","0.002612"
"AK4","0.8704","0.002612"
"NECAB1","-1.357","0.002625"
"PWRN1","-1.278","0.002625"
"RAB3C","-1.255","0.002625"
"XIST","-1.647","0.002647"
"RPS6","1.003","0.002692"
"RABGAP1L","0.7665","0.002757"
"RP11-545I5.3","0.9181","0.002765"
"NDUFA5","0.8687","0.002765"
"RPS3","0.9506","0.002772"
"APMAP","1.037","0.002854"
"SORCS1","-1.357","0.002879"
"PAN3","0.9671","0.002931"
"VMP1","-1.180","0.002987"
"MCAM","0.7355","0.002991"
"TPI1","0.9777","0.003133"
"PCLO","0.7653","0.003140"
"DLGAP4","-1.212","0.003202"
"GABRA4","-1.184","0.003253"
"MAST4","-1.241","0.003255"
"PPFIBP1","-1.190","0.003255"
